"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-3652935079-2502924976-3636359906-6531","C:\Users\amaris.adila","SLP-ADILA-SIRI","INA\amaris.adila",""
"S-1-5-21-3652935079-2502924976-3636359906-4631","C:\Users\pradynda.said","SLP-ADILA-SIRI","INA\pradynda.said",""
"S-1-5-21-3652935079-2502924976-3636359906-3713","C:\Users\xsdani_admin","SLP-ADILA-SIRI","INA\xsdani_admin",""
"S-1-5-21-3652935079-2502924976-3636359906-1679","C:\Users\admin_migrasi","SLP-ADILA-SIRI","INA\admin_migrasi",""
"S-1-5-21-3652935079-2502924976-3636359906-6254","C:\Users\deden.rizki","SLP-DEDEN-PSI","INA\deden.rizki",""
"S-1-5-21-3652935079-2502924976-3636359906-3713","C:\Users\xsdani_admin","SLP-DEDEN-PSI","INA\XSDANI_ADMIN",""
"S-1-5-21-3652935079-2502924976-3636359906-5400","C:\Users\editya.waskito","SLP-EDITYA-PSI","INA\editya.waskito",""
"S-1-5-21-3652935079-2502924976-3636359906-500","C:\Users\administrator.INA","SLP-EDITYA-PSI","INA\Administrator",""
"S-1-5-21-3652935079-2502924976-3636359906-3713","C:\Users\xsdani_admin","SLP-EDITYA-PSI","INA\XSDANI_ADMIN",""
"S-1-5-21-3652935079-2502924976-3636359906-500","C:\Users\administrator","SLP-GHUFRON-PSI","INA\Administrator",""
"S-1-5-21-3652935079-2502924976-3636359906-3712","C:\Users\xadodi_admin","SLP-GHUFRON-PSI","INA\XADODI_ADMIN",""
"S-1-5-21-3652935079-2502924976-3636359906-2620","C:\Users\xlelys_admin","SLP-GHUFRON-PSI","INA\XLELYS_ADMIN",""
"S-1-5-21-3652935079-2502924976-3636359906-1679","C:\Users\admin_migrasi","SLP-GHUFRON-PSI","INA\admin_migrasi",""
"S-1-5-21-3652935079-2502924976-3636359906-1110","C:\Users\ghufron.taufiq","SLP-GHUFRON-PSI","INA\ghufron.taufiq",""
"S-1-5-21-3652935079-2502924976-3636359906-6241","C:\Users\joddy.krisnad","SLP-JODDY-PSI","INA\joddy.krisnadi",""
"S-1-5-21-3652935079-2502924976-3636359906-1679","C:\Users\admin_migrasi","SLP-JODDY-PSI","INA\admin_migrasi",""
"S-1-5-21-3652935079-2502924976-3636359906-5246","C:\Users\nabil.furqan.INA","SMDP-MTKI1","S-1-5-21-3652935079-2502924976-3636359906-5246",""
"S-1-5-21-3652935079-2502924976-3636359906-1110","C:\Users\ghufron.taufiq","SMDP-MTKI1","S-1-5-21-3652935079-2502924976-3636359906-1110",""
